singRecp,singRecp-href,Overview,Profile,Rating,Ingred1,Ingred2,Ingred3,Ingred4,Ingred5,Ingred6,Ingred7,Ingred8,Ingred9,Ingred10,Ingred11,Ingred12,Procedure
"Fa-kawi American Indian Pale Ale","https://beerrecipes.org/Recipe/9086/fa-kawi-american-indian-pale-ale.html","Beer Style: American IPA (14B)

Recipe Type: all-grain

Yield: 5.5 US gallons","null","5.0 stars based on 1 votes

1 reviews, Read the reviews","5 lbs - Pale Malt (2 Row) US (2.0 SRM) (Grain)","3 lbs - Caramel/Crystal Malt - 20L (20.0 SRM) (Grain)","2 lbs 8.0 oz - Pale Malt (6 Row) US (2.0 SRM) (Grain)","1 lbs 8.0 oz - Corn, Flaked (1.3 SRM) (Grain)","1 lbs - Wild Rice (3.0 SRM) (Grain)","0.2 oz - Chinook [13.0%] - Boil 60 min (Hops)","0.2 oz - Columbus (Tomahawk) [14.0%] - Boil 60 min (Hops)","0.2 oz - Simcoe [13.0%] - Boil 60 min (Hops)","0.2 oz - Warrior [15.0%] - Boil 60 min (Hops)","0.2 oz - Chinook [13.0%] - Boil 30 min (Hops)","0.2 oz - Columbus (Tomahawk) [14.0%] - Boil 30 min (Hops)","0.2 oz - Simcoe [13.0%] - Boil 30 min (Hops)","Beer Kits make 5 gallons of quality homebrew and includes: instructions, freshly-milled malted barley, extract, muslin steeping bag(s), brewer's yeast, hops, carbonation sugar and 60 easy-peel labels. All-Grain kits do not include steeping bag(s) or extract."
"Celebration Ale Clone","https://beerrecipes.org/Recipe/222/celebration-ale-clone.html","Beer Style: American Pale Ale (10A)

Recipe Type: all-grain

Yield: 5 US gallons","Source:
Jeff Frane","5.0 stars based on 1 votes

No reviews","20# Klages (Harrington's these days)","3# Briess crystal malt","2 oz Chinook after 30 min","1.5 oz Cascade after 60 min","1.5 oz Cascade at end-boil","1 oz Cascade dry-hopped","Wyeast Chico ale yeast","null","null","null","null","null","Mash at 150 F. for 90 minutes."
"Imperial IPA #2","https://beerrecipes.org/Recipe/8321/imperial-ipa-2.html","Beer Style: Imperial IPA (14C)

Recipe Type: all-grain

Yield: 6 US gallons","null","5.0 stars based on 1 votes

1 reviews, Read the reviews","8 lbs 8.0 oz - Pale Malt (2 Row) UK (3.0 SRM) (Grain)","8 lbs 8.0 oz - Pale Malt (2 Row) US (2.0 SRM) (Grain)","1 lbs - Corn Sugar (Dextrose) (0.0 SRM) (Grain)","2.0 oz - Summit [17.0%] - Boil 90 min (Hops)","2.0 oz - Northern Brewer [8.5%] - Boil 15 min (Hops)","1.0 oz - Cascade [5.5%] - Boil 15 min (Hops)","1.0 oz - Simcoe [13.0%] - Boil 15 min (Hops)","2.0 oz - Cascade [5.5%] - Steep 0 min (Hops)","1.0 oz - Citra [12.0%] - Steep 0 min (Hops)","1.0 oz - Motueka [7.0%] - Steep 0 min (Hops)","2 pkgs - Dry English Ale (White Labs #WLP007) (Yeast)","1.5 oz - Nelson Sauvin [12.0%] - Dry Hop 8 days (Hops)","null"
"Chilly - A Chili Wit","https://beerrecipes.org/Recipe/6229/chilly-a-chili-wit.html","Beer Style: Witbier (16A)

Recipe Type: extract

Yield: 5 US gallons","Original Gravity: 1.048 (12.0° P)
 Final Gravity: 1.012 SG (3.1° P)
 Alcohol by Vol: 4.8%
 Bitterness IBU: 17.6
 Recipe Type: extract
 Yield: 5.00 US Gallons","5.0 stars based on 1 votes

1 reviews, Read the reviews","3 lbs 4.8 oz - LME Pilsen Light (Briess) (2.3 SRM) (Grain)","3 lbs 4.8 oz - LME Wheat (Muntons) (8.0 SRM) (Grain)","0.8 oz - Tettnanger [4.5%] - Boil 60 min (Hops)","0.8 oz - Saaz [4.0%] - Boil 30 min (Hops)","0.2 oz - Saaz [4.0%] - Boil 15 min (Hops)","0.25 oz - Coriander Seed (Boil 15 min) (Misc)","0.25 oz - Orange Peel, Bitter (Boil 15 min) (Misc)","1 pkgs - Belgian Witbier (Wyeast Labs #3944) (Yeast)","1.00 - Chili Pepper (Bottling 0 min) (Misc)","null","null","null","null"
"Braggot 3","https://beerrecipes.org/Recipe/1878/braggot-3.html","Beer Style: Braggot (26B)

Recipe Type: all-grain

Yield: 5.25 US gallons","null","5.0 stars based on 1 votes

1 reviews, Read the reviews","4 lbs - Pale Malt (2 Row) Canada (2.8 SRM) (Grain)","2 lbs - Munich Malt 20 EBC (9.0 SRM) (Grain)","1 lbs - Vienna Malt (3.5 SRM) (Grain)","12.0 oz - CaraHell (11.0 SRM) (Grain)","1.0 oz - Styrian Goldings [3.2%] - Boil 60 min (Hops)","0.5 oz - Styrian Goldings [3.2%] - Boil 30 min (Hops)","0.5 oz - Styrian Goldings [3.2%] - Boil 5 min (Hops)","2 pkgs - Lalvin D-47 (Lallemand - Lalvin #D-47) (Yeast)","5 lbs 12.8 oz - Honey (Buckwheat) (1.0 SRM) (Grain)","null","null","null","null"
"Lizzys Lager","https://beerrecipes.org/Recipe/6690/lizzys-lager.html","Beer Style: Cream Ale (6A)

Recipe Type: all-grain

Yield: 10 US gallons","null","5.0 stars based on 1 votes

1 reviews, Read the reviews","10.00 gal - Distilled Water (Water)","13 lbs - Pale Malt (2 Row) US (2.0 SRM) (Grain)","4 lbs - Rice, Flaked (1.0 SRM) (Grain)","1 lbs - White Wheat Malt (2.4 SRM) (Grain)","2.0 oz - Cluster [6.1%] - Boil 60 min (Hops)","1.0 oz - Hallertauer Mittelfrueh [4.0%] - Boil 5 min (Hops)","1 pkgs - Safale American (DCL/Fermentis #US-05) (Yeast)","null","null","null","null","null","null"
"Stone Sublimely Self-Righteous Ale Clone","https://beerrecipes.org/Recipe/5739/stone-sublimely-self-righteous-ale-clone.html","Beer Style: Imperial IPA (14C)

Recipe Type: all-grain

Yield: 5 US gallons","null","5.0 stars based on 1 votes

1 reviews, Read the reviews","14 lbs 8.0 oz - Pale Malt (2 Row) US (2.0 SRM) (Grain)","12.8 oz - Carafa III (Weyermann) (525.0 SRM) (Grain)","12.8 oz - Caramel/Crystal Malt - 60L (60.0 SRM) (Grain)","2.5 oz - Chinook [13.0%] - Boil 60 min (Hops)","2.0 oz - Amarillo Gold [8.5%] - Boil 5 min (Hops)","2.0 oz - Simcoe [13.0%] - Boil 5 min (Hops)","1 pkgs - Dry English Ale (White Labs #WLP007) (Yeast)","2.0 oz - Amarillo Gold [8.5%] - Dry Hop 5 days (Hops)","2.0 oz - Simcoe [13.0%] - Dry Hop 5 days (Hops)","null","null","null","Beer Kits make 5 gallons of quality homebrew and includes: instructions, freshly-milled malted barley, extract, muslin steeping bag(s), brewer's yeast, hops, carbonation sugar and 60 easy-peel labels. All-Grain kits do not include steeping bag(s) or extract."
"Surly Abrasive Clone","https://beerrecipes.org/Recipe/5602/surly-abrasive-clone.html","Beer Style: Imperial IPA (14C)

Recipe Type: all-grain

Yield: 5.5 US gallons","null","5.0 stars based on 1 votes

1 reviews, Read the reviews","7 lbs 4.0 oz - Pale Malt (2 Row) US (2.0 SRM) (Grain)","5 lbs - Golden Promise (2.8 SRM) (Grain)","1 lbs - Oats, Flaked (1.0 SRM) (Grain)","8.0 oz - Caramel/Crystal Malt - 60L (60.0 SRM) (Grain)","1.0 oz - Warrior [16.7%] - Boil 60 min (Hops)","0.5 oz - Apollo [13.9%] - Boil 60 min (Hops)","12.0 oz - Corn Sugar (Dextrose) [Boil for 10 min] (0.0 SRM) (Grain)","1.0 oz - Citra [14.1%] - Boil 10 min (Hops)","1.0 oz - Citra [14.1%] - Boil 5 min (Hops)","2.0 oz - Citra [14.1%] - Steep 20 min (Hops)","1 pkgs - Dry English Ale (White Labs #WLP007) (Yeast)","3.0 oz - Citra [14.1%] - Dry Hop 7 days (Hops)","null"
"Rainy Day Porter","https://beerrecipes.org/Recipe/339/rainy-day-porter.html","Beer Style: Robust Porter (12B)

Recipe Type: extract

Yield: 5 US gallons","Original Gravity: 1.057
 Final Gravity: 1.016
 Alcohol by Vol: 5.37%
 Recipe Type: extract
 Yield: 5.00 US Gallons","5.0 stars based on 5 votes

No reviews","2 pounds, Alexander extract syrup (pale)","4 pounds, Yellow Dog extract syrup (amber)","1-1/4 pounds, Brown Sugar","1/2 pound, Black Patent","1/4 pound, Roasted Barley","1/2 pound, Crystal (60 degree L)","1/2 pound, Crystal (40 degree L)","1/4 pound, Chocolate Malt","22 AAU (2 ounce Nugget), 60 minutes boil","3 ounce, Fresh Grated Ginger; 10 minutes boil","1 ounce, Cascade","Ale yeast (see comments)","Steep grains at 150 degrees for 40 minutes before boil. Add malt and brown sugar. Boil for 60 minutes. Add Nugget hops at begining of boil. Add ginger last 10 minutes of boil. Turn off heat and add Cascade hops. Allow to steep for 10 minutes. Cool wort with chiller. Rack off trub. Add water to make total about 5.3 gallons. Pitch yeast. Bottle 3 weeks later."
"Fleming's Festivus Ale","https://beerrecipes.org/Recipe/1204/flemings-festivus-ale.html","Beer Style: Christmas/Winter Specialty Spiced Beer (21B)

Recipe Type: partial mash

Yield: 5 US gallons","Source:
Josh","5.0 stars based on 1 votes

No reviews","5.5 gallons Spring Water","1/2 oz. Northern Brewer mulling spices (cloves, cinnamon, nutmeg, allspice)","4 oz. Clover honey","1 lb Rolled Oats","6 lbs NB Gold Syrup","3 lbs Breiss Dark DME","1/2 lb Fawcett Pale Chocolate Malt crushed","1/2 oz. Mt. Hood (20 min)","1/2 oz. Perle (30 min)","1/2 oz. Northern Brewer (45 min)","1 oz Cascade (55 min)","White Labs Burton Ale WLP023 or Wyeast Thames Valley 1275","Bring two gallons to 170F and soak the oats and the fawcett malts for 15 - 20 minutes. Pull and get all the liquid out, and add one more gallon and bring to a boil. Add malts, honey and mulling spices immediately, stirring vigorously. Once you reach hot break, add your hops at the defined increments. Strain, cool with remaining water and pitch yeast. I only primary ferment before bottling, in the tradition of Real Ales (despite the spices and honey). I used carb drops on the last batch and they worked great. I usually let it mature at 70-75F for a month or two before even thinking of serving."
"Skarpetorp K3 90 min","https://beerrecipes.org/Recipe/9031/skarpetorp-k3-90-min.html","Beer Style: American IPA (14B)

Recipe Type: all-grain

Yield: 15.85 US gallons","null","5.0 stars based on 1 votes

1 reviews, Read the reviews","15.85 gal - Skarpetorp (kopia på Antwerpen) (Water)","28 lbs 3.4 oz - 51010C Pale Malt, Maris Otter (3.0 SRM) (Grain)","5 lbs 0.5 oz - 50075 Munich Malt (9.0 SRM) (Grain)","4 lbs 15.6 oz - 50235C Wheat Malt, Ger (2.0 SRM) (Grain)","2 lbs 5.4 oz - 50365 Caramunich Malt (56.0 SRM) (Grain)","3.2 oz - 410642 Magnum [14.0%] - Boil 90 min (Hops)","2.1 oz - 410642 Magnum [14.0%] - Boil 75 min (Hops)","1.50 g - 6300 Protafloc, granulat (Boil 20 min) (Misc)","2.6 oz - 442042 Citra [12.0%] - Boil 20 min (Hops)","1.6 oz - 410642 Magnum [14.0%] - Boil 3 min (Hops)","1.6 oz - 440442 Centennial [10.0%] - Boil 3 min (Hops)","1.6 oz - 442042 Citra [12.0%] - Boil 3 min (Hops)","null"
"Merican Bitter 2","https://beerrecipes.org/Recipe/2171/merican-bitter-2.html","Beer Style: Standard/Ordinary Bitter (8A)

Recipe Type: all-grain

Yield: 11 US gallons","null","5.0 stars based on 1 votes

1 reviews, Read the reviews","13 lbs - Golden Promise (Simpsons) (2.0 SRM) (Grain)","8.0 oz - Crystal, Extra Dark (Simpsons) (160.0 SRM) (Grain)","2.0 oz - Glacier [5.4%] - Mash Hop (Hops)","1 lbs - Corn Sugar (Dextrose) (0.0 SRM) (Grain)","0.5 oz - Glacier [5.6%] - Boil 60 min (Hops)","2.0 oz - Centennial [10.0%] - Boil 15 min (Hops)","2.0 oz - Amarillo Gold [8.5%] - Boil 5 min (Hops)","2.0 oz - Centennial [10.0%] - Boil 0 min (Hops)","1 pkgs - Pacific Ale (White Labs #WLP041) (Yeast)","2.0 oz - Amarillo Gold [8.5%] - Dry Hop 5 days (Hops)","2.0 oz - Glacier [5.6%] - Dry Hop 5 days (Hops)","null","null"
"Oakmeal Stout","https://beerrecipes.org/Recipe/5295/oakmeal-stout.html","Beer Style: Oatmeal Stout (13C)

Recipe Type: all-grain

Yield: 5.4 US gallons","Original Gravity: 1.057 (13.9° P)
 Final Gravity: 1.013 SG (3.3° P)
 Alcohol by Vol: 5.8%
 Color SRM: 38.5  Color Sample 
 Bitterness IBU: 34.0
 Recipe Type: all-grain
 Yield: 5.40 US Gallons","5.0 stars based on 1 votes

1 reviews, Read the reviews","1.10 tbsp - PH 5.2 Stabilizer (Mash 60 min) (Misc)","7 lbs - Pale Malt, Maris Otter (3.0 SRM) (Grain)","1 lbs - Barley, Flaked (1.7 SRM) (Grain)","1 lbs - Oats, Flaked (1.0 SRM) (Grain)","1 lbs - Roasted Barley (300.0 SRM) (Grain)","8.0 oz - Black Barley (Stout) (500.0 SRM) (Grain)","8.0 oz - Cara-Pils/Dextrine (2.0 SRM) (Grain)","8.0 oz - Caramel/Crystal Malt - 80L (80.0 SRM) (Grain)","4.0 oz - Chocolate Malt (350.0 SRM) (Grain)","8.0 oz - Milk Sugar (Lactose) (0.0 SRM) (Grain)","1.5 oz - Cluster [7.0%] - Boil 60 min (Hops)","1 pkgs - Safale American (DCL/Fermentis #US-05) (Yeast)","Beer Kits make 5 gallons of quality homebrew and includes: instructions, freshly-milled malted barley, extract, muslin steeping bag(s), brewer's yeast, hops, carbonation sugar and 60 easy-peel labels. All-Grain kits do not include steeping bag(s) or extract."
"SJPORR - 20l","https://beerrecipes.org/Recipe/7453/sjporr-20l.html","Beer Style: Robust Porter (12B)

Recipe Type: all-grain

Yield: 5.55 US gallons","null","5.0 stars based on 1 votes

1 reviews, Read the reviews","3 lbs 15.5 oz - Mild Ale - 2 Row (2.8 SRM) (Grain)","3 lbs 15.5 oz - Pale Malt, Maris Otter (Thomas Fawcett) (6.1 SRM) (Grain)","1 lbs 15.7 oz - Wheat Malt, Pale (Weyermann) (2.0 SRM) (Grain)","15.9 oz - Crystal Medium (66.0 SRM) (Grain)","15.9 oz - Oats, Malted (Thomas Fawcett) (2.0 SRM) (Grain)","10.6 oz - Melanoidin (Weyermann) (30.0 SRM) (Grain)","3.5 oz - Black (Bairds) (659.9 SRM) (Grain)","1.8 oz - Chocolate Pale (380.7 SRM) (Grain)","1.8 oz - Roasted Barley (Bairds) (659.9 SRM) (Grain)","2.1 oz - Goldings - NZ [5.0%] - Boil 90 min (Hops)","1 pkgs - American Ale (Wyeast Labs #1056) (Yeast)","0.7 oz - Saaz [4.0%] - Dry Hop 7 days (Hops)","null"
"Wit Monster","https://beerrecipes.org/Recipe/2022/wit-monster.html","Beer Style: Witbier (16A)

Recipe Type: all-grain

Yield: 5.28 US gallons","null","5.0 stars based on 1 votes

1 reviews, Read the reviews","4 lbs 15.4 oz - Pale Malt, Maris Otter (3.0 SRM) (Grain)","4 lbs 15.2 oz - Wheat, Flaked (1.6 SRM) (Grain)","1.2 oz - Goldings, East Kent 4,5% [4.5%] - Boil 60 min (Hops)","6.00 g - Klar urt (Boil 15 min) (Misc)","2.32 g - Wyeast Beer Nutrient Blend (Boil 10 min) (Misc)","22.40 g - Coriander Seed (Boil 5 min) (Misc)","22.40 g - Orange Peel, Bitter (Boil 5 min) (Misc)","1 pkgs - Belgian Wit Ale (White Labs #WLP400) (Yeast)","null","null","null","null","null"
"Alki Point Sunset","https://beerrecipes.org/Recipe/714/alki-point-sunset.html","Beer Style: Kölsch (6C)

Recipe Type: all-grain

Yield: 5 US gallons","Original Gravity: 1.050
 Final Gravity: 1.007
 Alcohol by Vol: 5.63%
 Recipe Type: all-grain
 Yield: 5.00 US Gallons","5.0 stars based on 1 votes

No reviews","5.0# D-C Belgian Pilsener Malt","1.625# D-C Belgian Wheat Malt","1.0# Ireks German Light Crystal",".125# Cara-Vienne","1.25# clover honey (15 minute boil)",".50 oz. Tettnang (4.3% AA) 60 min. 7.5IBU",".50 oz. Liberty (4.3% AA) 60 min. 7.5IBU",".50 oz. Mt. Hood (4.5% AA) 60 min. 8.0IBU",".50 oz. Tettnang (4.3% AA) 30 min. 2.0IBU",".25 oz. Liberty (4.5% AA) 10 min.","Wyeast #2565 (Kolsch)","null","Mash In: 132F

Protein Rest: 30 min @ 124F

Saccharification: 90 min @ 150F

Mash Off: 10 min @ 168F





Sparge to collect 5.75 gallons of sweet wort (or until SG of runoff is 1.010-1.012).



Boil for 90 minutes. Adding 1.125# clover honey for the last 15 minutes of the boil. 



Force cool to 62F and pitch slurry from 1.25L starter of Wyeast #2565 Kolsch."
"Buffat Brown Ale","https://beerrecipes.org/Recipe/1285/buffat-brown-ale.html","Beer Style: American Brown Ale (10C)

Recipe Type: extract

Yield: 5 US gallons","Source:
Glenn Brackett","5.0 stars based on 2 votes

No reviews","1 pound 2-row barley","1 pound Briess DME","6.6 pounds Briess CBW ""Sparkling Amber"" LME","1 ounce Fuggle","1 ounce Willamett (divided)","Munton's Active Brewing Yeast","null","null","null","null","null","null","Heat 3 gallons of water to steeping temperature and steep grains for 20 minutes.



Remove grains and bring to a boil. Remove kettle from heat and slowly add DME. Return to a boil.



Slowly add LME and Fuggle.



30 minutes into the boil, add 1/2 ounce Willamette.



55 minutes into the boil, add the other half of the Willamette.



Boil 5 more minutes for a total of 60 minutes boil time.



Pour wort into fermenter and add enough water to make 5 gallons. Add yeast and agitate thoroughly (Do not stir the yeast into the wort; this causes ""funneling"" and all the yeast drifts to the center of the fermenter.) Cap and airlock.



Transfer to carboy after airlock is no longer active. Leave for 7 days then bottle.



I allowed this batch to condition for 3 weeks before I tested a bottle.



Enjoy!"
"Turncoat Triple","https://beerrecipes.org/Recipe/6316/turncoat-triple.html","Beer Style: Belgian Specialty Ale (16E)

Recipe Type: all-grain

Yield: 10 US gallons","null","5.0 stars based on 2 votes

1 reviews, Read the reviews","25 lbs - Pale Malt (2 Row) Bel (3.0 SRM) (Grain)","4.0 oz - Caraaroma (130.0 SRM) (Grain)","2 lbs - Sugar, Table (Sucrose) (1.0 SRM) (Grain)","3.2 oz - Hallertauer Mittelfrueh [4.0%] - Boil 60 min (Hops)","2.00 oz - Coriander Seed (Boil 15 min) (Misc)","1.00 oz - Orange Peel, Sweet (Boil 5 min) (Misc)","1 pkgs - Wyeast 3655 Belgian Schelde (Wyeast #3655) (Yeast)","null","null","null","null","null","null"
"Rudoph's Revenge Spiced Ale","https://beerrecipes.org/Recipe/8885/rudophs-revenge-spiced-ale.html","Beer Style: Christmas/Winter Specialty Spiced Beer (21B)

Recipe Type: all-grain

Yield: 6 US gallons","Original Gravity: 1.069 (16.8° P)
 Final Gravity: 1.013 SG (3.3° P)
 Alcohol by Vol: 7.4%
 Color SRM: 14.6  Color Sample 
 Bitterness IBU: 32.8
 Recipe Type: all-grain
 Yield: 6.00 US Gallons","5.0 stars based on 2 votes

No reviews","10 lbs - Pale Malt (2 Row) US (2.0 SRM) (Grain)","1 lbs 8.0 oz - Caramel/Crystal Malt - 80L (80.0 SRM) (Grain)","1 lbs - Caramel/Crystal Malt - 40L (40.0 SRM) (Grain)","8.0 oz - Biscuit Malt (23.0 SRM) (Grain)","8.0 oz - Cara-Pils/Dextrine (2.0 SRM) (Grain)","0.0 oz - Black (Patent) Malt (500.0 SRM) (Grain)","1.0 oz - Centennial [10.0%] - Boil 60 min (Hops)","0.5 oz - Saaz [4.0%] - Boil 20 min (Hops)","0.30 tsp - Irish Moss (Boil 10 min) (Misc)","0.5 oz - Saaz [4.0%] - Boil 10 min (Hops)","0.90 oz - Orange Peel, Sweet (Boil 5 min) (Misc)","0.12 oz - Cinnamon Stick (Boil 5 min) (Misc)","null"
"Steam Beer","https://beerrecipes.org/Recipe/278/steam-beer.html","Beer Style: California Common Beer (7B)

Recipe Type: all-grain

Yield: 5 US gallons","Original Gravity: 1.054
 Final Gravity: 1.015
 Alcohol by Vol: 5.1%
 Recipe Type: all-grain
 Yield: 5.00 US Gallons","5.0 stars based on 1 votes

No reviews","9-1/2 pounds, Klages malt","1-1/2 pounds, Crystal malt 40L","1/2 pound, Cara Pils malt","2-1/2 ounces, Northern Brewer whole hops, 6.9%","Wyeast #2007","null","null","null","null","null","null","null","Using a standard mash procedure: Protein rest of 30 minutes at 125 degrees. Raise temperature to 155 degrees and hold for 90 minutes or until starch is converted. Sparge to collect enough that a 1 hour boil will still leave you 5 gallons of beer (brewing -- art or science?). Bring wort to boil. Add 1-1/2 ounces of Norther Brewer at beginning, 1/2 ounce at 30 minutes and 1/2 ounce for the last ten minutes."
"Red Ale","https://beerrecipes.org/Recipe/255/red-ale.html","Beer Style: Irish Red Ale (9D)

Recipe Type: extract

Yield: 5 US gallons","Source:
John W. Braue, III","5.0 stars based on 3 votes

1 reviews, Read the reviews","6 lb amber syrup (I use Stome Brewery)","1 lb crystal malt","2 oz roasted barley","1 1/2 - 2 oz Cascade hops for bittering (depending on taste)","1/4 oz Cascade hops for flavor","1/4 oz Cascade hops for aroma","115 g dry ale yeast","null","null","null","null","null","Steep the speciality malts in 1 1/2 gal water, remove grains, add syrup to liquor, and boil 60 minutes with bittering hops Add flavor hops 10 min before end of boil, add aroma hops end of boil and steep for 5 min Add 3 1/2 gal cold water and pitch at suitable temperature."
"Belgian Strong Golden - Sour","https://beerrecipes.org/Recipe/7401/belgian-strong-golden-sour.html","Beer Style: Belgian Golden Strong Ale (18D)

Recipe Type: all-grain

Yield: 11.5 US gallons","Original Gravity: 1.081 (19.4° P)
 Final Gravity: 1.014 SG (3.5° P)
 Alcohol by Vol: 9.0%
 Color SRM: 6.9  Color Sample 
 Bitterness IBU: 6.9
 Recipe Type: all-grain
 Yield: 11.50 US Gallons","5.0 stars based on 1 votes

1 reviews, Read the reviews","24 lbs 5.0 oz - Pilsner (2 Row) Bel (2.0 SRM) (Grain)","6 lbs 8.7 oz - Munich Malt (9.0 SRM) (Grain)","1 lbs 15.3 oz - Cane (Beet) Sugar (0.0 SRM) (Grain)","1.0 oz - Hallertauer [4.8%] - Boil 60 min (Hops)","8.00 oz - Malto-Dextrine (Boil 5 min) (Misc)","2 pkgs - Belgian Strong Ale (Wyeast Labs #1388) (Yeast)","null","null","null","null","null","null","null"
